delta.rank,pval,level,nseqs,term,name,p.adj,,term,,,,,,,,,
0,0.000425991,3,772,GO:0045665,negative regulation of neuron differentiation,0.020273196,,GO:0045665,,,,,,,,,
0,0.000425143,2,65,GO:1902253,regulation of intrinsic apoptotic signaling pathway by p53 class mediator,0.020273196,,GO:1902253,,,,,,,,,
0,0.00044384,2,190,GO:2001251,negative regulation of chromosome organization,0.021013743,,GO:2001251,,,,,,,,,
0,0.00045614,2,288,GO:1901796,regulation of signal transduction by p53 class mediator,0.021485348,,GO:1901796,,,,,,,,,
0,0.000472588,2,82,GO:1902229,regulation of intrinsic apoptotic signaling pathway in response to DNA damage,0.022146544,,GO:1902229,,,,,,,,,
0,0.000479121,2,55,GO:2001014,regulation of skeletal muscle cell differentiation,0.02233872,,GO:2001014,,,,,,,,,
0,0.000487035,2,2114,GO:0045596,negative regulation of cell differentiation,0.022592998,,GO:0045596,,,,,,,,,
0,0.000503315,2,45,GO:0014733,regulation of skeletal muscle adaptation,0.023117604,,GO:0014733,,,,,,,,,
0,0.000503904,5,768,GO:0050678,regulation of epithelial cell proliferation,0.023117604,,GO:0050678,,,,,,,,,
0,0.000505894,6,1546,GO:0051493,regulation of cytoskeleton organization,0.023117604,,GO:0051493,,,,,,,,,
0,0.000534413,2,14,GO:0021627,olfactory nerve morphogenesis,0.0242999,,GO:0021627,,,,,,,,,
0,0.000558019,4,277,GO:0001947;GO:0003143;GO:0061371,embryonic heart tube morphogenesis,0.024615782,,GO:0001947,GO:0003143,GO:0061371,,,,,,,
0,0.00056406,2,611,GO:0010977;GO:0031345,negative regulation of cell projection organization,0.024615782,,GO:0010977,GO:0031345,,,,,,,,
0,0.00057352,4,18,GO:0019042,viral latency,0.024615782,,GO:0019042,,,,,,,,,
0,0.000569836,2,130,GO:0043966,histone H3 acetylation,0.024615782,,GO:0043966,,,,,,,,,
0,0.00057352,3,18,GO:0043970,histone H3-K9 acetylation,0.024615782,,GO:0043970,,,,,,,,,
0,0.000572771,2,31,GO:0048752,semicircular canal morphogenesis,0.024615782,,GO:0048752,,,,,,,,,
0,0.00056769,3,112,GO:0071711,basement membrane organization,0.024615782,,GO:0071711,,,,,,,,,
0,0.00057352,6,18,GO:0097112,gamma-aminobutyric acid receptor clustering,0.024615782,,GO:0097112,,,,,,,,,
0,0.000559099,2,106,GO:0097421,liver regeneration,0.024615782,,GO:0097421,,,,,,,,,
0,0.000545361,2,22,GO:1901166,neural crest cell migration involved in autonomic nervous system development,0.024615782,,GO:1901166,,,,,,,,,
0,0.000573092,3,2423,GO:1902533,positive regulation of intracellular signal transduction,0.024615782,,GO:1902533,,,,,,,,,
0,0.000556265,4,142,GO:1903053,regulation of extracellular matrix organization,0.024615782,,GO:1903053,,,,,,,,,
0,0.00058932,2,2004,GO:0008283,cell population proliferation,0.025176303,,GO:0008283,,,,,,,,,
0,0.000603877,2,555,GO:0006520,cellular amino acid metabolic process,0.02567875,,GO:0006520,,,,,,,,,
0,0.000625548,5,219,GO:0010595,positive regulation of endothelial cell migration,0.026477677,,GO:0010595,,,,,,,,,
