delta.rank,pval,level,nseqs,term,name,p.adj,,,,,,,
0,4.13E-05,2,23,GO:0046184,aldehyde biosynthetic process,0.005658811,,,,,,,
0,4.71E-05,4,24,GO:0006000,fructose metabolic process,0.006176965,,,,,,,
0,4.59E-05,2,133,GO:0006081,cellular aldehyde metabolic process,0.006176965,,,,,,,
0,5.14E-05,4,69,GO:0043403,skeletal muscle tissue regeneration,0.00664473,,,,,,,
0,7.55E-05,2,349,GO:0044262,cellular carbohydrate metabolic process,0.009637413,,,,,,,
0,8.45E-05,4,5,GO:0019563,glycerol catabolic process,0.010490284,,,,,,,
0,8.45E-05,2,5,GO:0045967,negative regulation of growth rate,0.010490284,,,,,,,
0,8.92E-05,2,153,GO:0050879;GO:0050881,multicellular organismal movement,0.010927167,,,,,,,
0,9.49E-05,2,155,GO:0043470,regulation of carbohydrate catabolic process,0.011464303,,,,,,,
0,0.000113428,2,32,GO:0046689,response to mercury ion,0.013530293,,,,,,,
0,0.000126533,5,6,GO:0071444,cellular response to pheromone,0.014900029,,,,,,,
0,0.000129747,2,512,GO:0031032,actomyosin structure organization,0.015085136,,,,,,,
0,0.000146548,4,824,GO:0062012,regulation of small molecule metabolic process,0.016825509,,,,,,,
0,0.000148728,3,35,GO:0030497;GO:0042761,very long-chain fatty acid biosynthetic process,0.016838033,,,,,,,
0,0.000150323,3,390,GO:0070252;GO:0030048,actin filament-based movement,0.016838033,,,,,,,
0,0.00015683,2,673,GO:0007015,actin filament organization,0.017355188,,,,,,,
0,0.000161907,2,36,GO:0006089,lactate metabolic process,0.01770372,,,,,,,
0,0.000176808,2,7,GO:0019405,alditol catabolic process,0.018666468,,,,,,,
0,0.000176808,4,7,GO:0043456;GO:1902031,regulation of NADP metabolic process,0.018666468,,,,,,,
0,0.000176808,7,7,GO:0046103,inosine biosynthetic process,0.018666468,,,,,,,
0,0.000189411,4,405,GO:0007519,skeletal muscle tissue development,0.019769776,,,,,,,
0,0.000235295,2,8,GO:0006172,ADP biosynthetic process,0.023491142,,,,,,,
0,0.000235295,5,8,GO:0017014;GO:0018119,protein nitrosylation,0.023491142,,,,,,,
0,0.000235295,2,8,GO:0044533;GO:0052042;GO:0052151;GO:0060139,positive regulation of apoptotic process in other organism,0.023491142,,,,,,,
0,0.000235295,2,8,GO:0046166,glyceraldehyde-3-phosphate biosynthetic process,0.023491142,,,,,,,
0,0.000242702,5,297,GO:0043467,regulation of generation of precursor metabolites and energy,0.023970052,,,,,,,
0,0.00025866,2,720,GO:0090257,regulation of muscle system process,0.025274355,,,,,,,
0,0.000275738,5,43,GO:0014857;GO:0014842,regulation of skeletal muscle cell proliferation,0.026659547,,,,,,,
